name,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient,allergy
순두부,400,250,10,20,15,2,10,0,800,300,"두부, 야채, 고추기름",땅콩/대두
비빔밥,500,550,80,20,15,3,10,50,1000,700,"밥, 나물, 고기, 고추장","땅콩/대두, 밀, 달걀"
삼계탕,600,800,10,60,50,15,25,150,1200,500,"닭고기, 인삼, 대추, 마늘",고기
불고기백반,500,700,50,35,30,10,15,80,1000,600,"쇠고기, 양파, 간장, 설탕","땅콩/대두, 밀, 고기"
갈치조림,400,600,20,40,30,8,15,100,900,500,"갈치, 무, 고추장, 간장","갑각류, 땅콩/대두"
매운맛탕수육(소),300,700,60,25,40,10,20,80,800,400,"돼지고기, 전분, 고추, 소스","고기, 밀, 땅콩/대두"
고추간짜장,400,650,80,15,25,5,15,50,1000,300,"면, 돼지고기, 고추, 간장","밀, 고기, 땅콩/대두"
탕수육(소),300,650,50,20,35,8,18,70,700,350,"돼지고기, 전분, 소스","고기, 밀, 땅콩/대두"
깐풍기(소),300,750,40,30,45,10,20,90,900,400,"닭고기, 마늘, 고추, 간장","고기, 땅콩/대두, 밀"
삼선짬뽕,600,800,90,30,30,8,15,100,1500,500,"면, 해물, 야채, 고추기름","갑각류, 밀, 땅콩/대두"
고추짜장,400,600,85,10,20,5,10,30,900,300,"면, 고추, 간장, 돼지고기","밀, 고기, 땅콩/대두"
전가복(소),400,900,40,40,50,15,25,120,1000,600,"해산물, 야채, 소스","갑각류, 땅콩/대두"
홍소탕면,500,700,80,20,25,6,12,60,1100,400,"면, 소고기, 야채, 간장","밀, 땅콩/대두, 고기"
딸기빙수,350,450,70,5,15,10,3,20,100,200,"얼음, 딸기, 연유, 팥",우유
버터&잼와플,200,500,60,8,25,15,5,50,300,150,"밀가루, 버터, 잼","밀, 우유"
카라멜라떼,300,350,40,8,15,10,3,30,150,200,"우유, 커피, 카라멜시럽",우유
바닐라라떼,300,330,35,8,12,9,2,25,140,190,"우유, 커피, 바닐라시럽",우유
카페라떼,300,280,30,9,10,7,2,20,130,200,"우유, 커피",우유
헤이즐넛아메리카노,300,50,8,0,0,0,0,0,10,200,"커피, 헤이즐넛시럽",NULL
아메리카노,300,10,0,0,0,0,0,0,10,200,"커피",NULL
에그버거,250,550,45,20,30,10,15,120,800,300,"계란, 빵, 소스","달걀, 밀, 땅콩/대두"
불고기버거,250,600,50,22,35,12,15,80,900,300,"쇠고기, 빵, 양파, 소스","밀, 땅콩/대두, 고기"
커피쉐이크,350,400,50,10,15,10,3,50,150,200,"우유, 커피, 아이스크림",우유
청포도에이드,350,250,60,0,0,0,0,0,30,100,"청포도시럽, 탄산수",NULL
베리베리에이드,350,250,60,0,0,0,0,0,30,100,"베리믹스시럽, 탄산수",NULL
요크셔밀크티,300,300,35,6,12,8,3,30,150,200,"홍차, 우유, 설탕",우유
특삼겹 너덜이,400,300,30,20,15,5,10,50,800,300,"삼겹살",고기
일삼꼬들,400,300,30,20,15,5,10,50,800,300,"삼겹살",고기
한방껍데기,400,300,30,20,15,5,10,50,800,300,"돼지껍데기, 한방재료",고기
모듬스페셜,400,300,30,20,15,5,10,50,800,300,"삼겹살, 항정살, 갈매기살",고기
생오겹,400,300,30,20,15,5,10,50,800,300,"오겹살",고기
생삼겹살,400,300,30,20,15,5,10,50,800,300,"삼겹살",고기
통갈매기살,400,300,30,20,15,5,10,50,800,300,"갈매기살",고기
항정살,400,300,30,20,15,5,10,50,800,300,"항정살",고기
대구막창,400,300,30,20,15,5,10,50,800,300,"돼지막창",고기
양념돼지갈비,400,300,30,20,15,5,10,50,800,300,"돼지고기, 양념장(간장, 설탕, 마늘)",고기
차돌된장밥,400,300,30,20,15,5,10,50,800,300,"밥, 차돌박이, 된장, 야채",땅콩/대두
순두부찌개,400,300,30,20,15,5,10,50,800,300,"순두부, 야채, 고추기름",땅콩/대두
차돌 된장찌개,400,300,30,20,15,5,10,50,800,300,"차돌박이, 된장, 야채",땅콩/대두
생고기김치찌개,400,300,30,20,15,5,10,50,800,300,"돼지고기, 김치, 고추가루",NULL
치즈 계란말이,400,300,30,20,15,5,10,50,800,300,"계란, 치즈",달걀
삼정프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 계란, 우유, 시럽","달걀, 우유"
토마토스튜,400,300,30,20,15,5,10,50,800,300,"토마토, 야채, 올리브오일",NULL
스탠다드샌드위치,400,300,30,20,15,5,10,50,800,300,"식빵, 햄, 치즈, 야채","밀, 우유"
베이직프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 계란, 우유","달걀, 우유"
삼정플레이트,400,300,30,20,15,5,10,50,800,300,"계란, 베이컨, 빵, 야채","달걀, 밀"
아이스크림 프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 계란, 우유, 아이스크림","우유, 달걀"
바나나푸딩토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 바나나, 푸딩, 우유",우유
트리플치즈프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 치즈, 우유, 계란","우유, 달걀"
잠봉프렌치토스트,400,300,30,20,15,5,10,50,800,300,"식빵, 잠봉, 계란, 우유","달걀, 우유"
쫄면순두부,400,300,30,20,15,5,10,50,800,300,"쫄면, 순두부, 야채","땅콩/대두"
돈가스+쫄순,400,300,30,20,15,5,10,50,800,300,"돈가스, 쫄면, 소스","밀, 땅콩/대두"
치킨+돈가스+쫄순,400,300,30,20,15,5,10,50,800,300,"치킨가스, 돈가스, 쫄면","밀, 땅콩/대두"
쫄순+치즈알밥,400,300,30,20,15,5,10,50,800,300,"쫄면, 치즈, 알밥","우유"
돈가스+냉면,400,300,30,20,15,5,10,50,800,300,"돈가스, 냉면","밀, 땅콩/대두"
돈가스+순두부,400,300,30,20,15,5,10,50,800,300,"돈가스, 순두부","땅콩/대두"
치킨가스+냉면,400,300,30,20,15,5,10,50,800,300,"치킨가스, 냉면","밀, 땅콩/대두"
치킨가스+쫄순,400,300,30,20,15,5,10,50,800,300,"치킨가스, 쫄면","밀, 땅콩/대두"
냉면+치즈알밥,400,300,30,20,15,5,10,50,800,300,"냉면, 치즈, 알밥","우유"
돈가스,400,300,30,20,15,5,10,50,800,300,"돈가스","밀, 땅콩/대두"
김치볶음밥,400,300,30,20,15,5,10,50,800,300,"밥, 김치, 계란","달걀"
오므라이스,400,300,30,20,15,5,10,50,800,300,"밥, 계란, 케첩","달걀"
제육덮밥,400,300,30,20,15,5,10,50,800,300,"돼지고기, 밥, 고추장","고기"
알밥,400,300,30,20,15,5,10,50,800,300,"날치알, 밥, 야채",NULL
치즈알밥,400,300,30,20,15,5,10,50,800,300,"날치알, 밥, 치즈","우유"
지못미버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 소스","밀, 땅콩/대두"
더블버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 소스","밀, 땅콩/대두"
에그뿜뿜,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 계란","밀, 땅콩/대두, 달걀"
하와이안버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵, 파인애플","밀, 땅콩/대두"
싱글버거,400,300,30,20,15,5,10,50,800,300,"버거패티, 빵","밀, 땅콩/대두"
된장찌개,400,300,30,20,15,5,10,50,800,300,"된장, 두부, 야채","땅콩/대두"
김치찌개,400,300,30,20,15,5,10,50,800,300,"김치, 돼지고기, 두부","고기, 땅콩/대두"
동태찌개,400,300,30,20,15,5,10,50,800,300,"동태, 두부, 야채","생선, 땅콩/대두"
부대찌개,400,300,30,20,15,5,10,50,800,300,"햄, 소시지, 야채, 두부","땅콩/대두, 고기"
북어찜백반,400,300,30,20,15,5,10,50,800,300,"북어, 야채, 고추장","생선"
돌솥비빔밥,400,300,30,20,15,5,10,50,800,300,"밥, 나물, 고기, 계란","달걀, 땅콩/대두"
비빔밥,400,300,30,20,15,5,10,50,800,300,"밥, 나물, 고기, 계란","달걀, 땅콩/대두"
소한마리(미국산) 1kg,1000,3000,0,250,250,100,120,500,800,300,"소고기","고기"
소반마리(미국산) 500 g,500,1500,0,125,125,50,60,250,400,150,"소고기","고기"
소반+돼반 1kg,1000,2800,0,200,230,90,110,450,700,300,"소고기, 돼지고기","고기"
국내산숙성등심 200 g,200,700,0,40,60,25,30,120,200,100,"소고기","고기"
갈비살 200 g,200,700,0,40,60,25,30,120,200,100,"소고기","고기"
우삼겹 200 g,200,750,0,35,70,30,35,130,250,100,"소고기","고기"
육회 200 g,200,500,0,40,35,12,20,120,150,80,"소고기, 참기름, 배","고기"
육회 소 100 g,100,250,0,20,17,6,10,60,80,50,"소고기, 참기름, 배","고기"
돼지한마리 1kg,1000,3200,0,180,300,110,150,800,700,300,"돼지고기","고기"
돼지반마리 500 g,500,1600,0,90,150,55,75,400,350,150,"돼지고기","고기"
국내산 생삼겹 200 g,200,720,0,28,65,25,30,200,150,80,"돼지고기","고기"
국내산 오겹살 200 g,200,720,0,28,65,25,30,200,150,80,"돼지고기","고기"
항정살 200 g,200,750,0,30,68,27,30,220,150,80,"돼지고기","고기"
생목살 200 g,200,700,0,28,60,24,30,200,150,80,"돼지고기","고기"
돼지양념구이 300 g,300,950,20,40,65,25,35,250,300,120,"돼지고기, 양념장","고기, 땅콩/대두"
빠가+메기 특대,1000,1400,20,160,30,6,20,400,1500,600,"빠가사리, 메기, 야채, 고추","생선"
빠가사리 특,800,1100,20,130,25,5,18,300,1200,500,"빠가사리, 야채, 고추","생선"
메기 특,700,1000,15,120,22,4,18,280,1100,400,"메기, 야채, 고추","생선"
빙어튀김,400,900,50,20,40,12,20,100,700,300,"빙어, 튀김가루","생선, 밀"
후라이드치킨,800,2200,50,150,150,40,60,400,1400,600,"닭고기, 튀김가루","고기, 밀"
매콤 양념치킨,800,2400,80,150,160,50,65,420,1600,600,"닭고기, 양념소스, 튀김가루","고기, 밀, 땅콩/대두"
골뱅이 국수,500,900,80,20,30,6,18,100,1200,400,"골뱅이, 소면, 야채","조개류, 밀"
부산오뎅탕,500,450,20,25,15,4,8,80,900,400,"어묵, 국물, 야채","어류, 땅콩/대두"
닭모래집,300,500,10,50,25,7,12,150,600,250,"닭모래집, 마늘","고기"
소곱창 (1인분),200,600,5,40,50,20,20,250,900,300,"소곱창, 양념","고기"
대창 (1인분),200,700,5,30,65,25,25,300,850,300,"소대창, 양념","고기"
염통 (1인분),200,500,5,40,35,12,18,200,750,250,"소염통, 양념","고기"
맑은 소뼈해장국,600,500,5,40,25,8,10,150,800,400,"소뼈, 대파, 마늘","고기"
얼큰 소뼈해장국,600,550,10,40,25,8,10,150,900,400,"소뼈, 고추, 대파","고기"
보양곰탕,700,600,5,50,30,10,12,160,850,400,"소고기, 대파, 마늘","고기"
한우곱창국밥,600,550,10,35,35,12,13,180,850,400,"한우곱창, 밥, 대파","고기"
한우곱창전골 (대),1000,1200,20,80,70,20,30,200,1300,600,"한우곱창, 야채, 고추","고기"
한우곱창전골 (중),700,850,15,60,50,15,20,180,900,400,"한우곱창, 야채, 고추","고기"
소뼈구이 (1인),200,600,5,40,45,15,20,250,700,250,"소뼈, 소금","고기"
오징어양볶음,400,700,30,35,25,7,15,100,1200,400,"오징어, 야채, 고추","생선"
육회 (국내산),200,500,0,40,30,10,15,150,300,150,"소고기, 참기름, 배","고기"
한우떡갈비 (한접시),400,900,10,40,50,20,25,180,800,300,"소고기, 떡갈비 양념","고기, 땅콩/대두"
한우떡갈비 (반접시),200,450,5,20,25,10,12,90,400,150,"소고기, 떡갈비 양념","고기, 땅콩/대두"
홍어사시미,300,400,0,40,15,4,8,200,700,300,"홍어, 초장","생선"
묵은지생삼겹,400,800,20,40,60,20,25,250,900,400,"삼겹살, 묵은지","고기"
묵은지감자탕 대,1200,1500,30,90,60,20,30,200,1800,700,"돼지고기, 묵은지, 감자","고기"
우거지감자탕 대,1200,1400,30,85,55,18,27,180,1700,700,"돼지고기, 우거지, 감자","고기"
묵은지 생고기찜,800,1300,20,70,50,18,25,200,1000,500,"돼지고기, 묵은지","고기"
들깨 묵은지 생고기찜,800,1250,20,70,45,15,25,200,950,500,"돼지고기, 묵은지, 들깨","고기"
우거지뼈해장국,600,550,10,40,30,10,12,150,850,400,"돼지뼈, 우거지","고기"
청국장,400,400,20,25,20,5,10,60,900,300,"청국장, 두부, 야채","땅콩/대두"
제육볶음,400,750,30,40,45,15,20,180,1000,400,"돼지고기, 고추장, 야채","고기, 땅콩/대두"
김치찌개,500,600,20,25,30,8,15,150,900,400,"김치, 돼지고기","고기, 땅콩/대두"
돼지 된장찌개,500,600,15,20,25,7,12,120,850,400,"된장, 돼지고기, 야채","땅콩/대두, 고기"
바지락 된장찌개,500,550,15,15,20,5,10,110,800,400,"바지락, 된장, 야채","갑각류, 땅콩/대두"
삼겹살 돼지 된장찌개,500,650,15,25,30,8,12,140,900,400,"삼겹살, 된장, 야채","고기, 땅콩/대두"
삼겹살 바지락 된장찌개,500,650,15,25,30,8,12,140,900,400,"삼겹살, 바지락, 된장, 야채","고기, 갑각류, 땅콩/대두"
전통육개장,500,600,15,40,30,8,15,150,900,400,"소고기, 대파, 고사리","고기"
떡정식,600,700,100,15,10,2,5,40,600,300,"떡, 국, 반찬류","땅콩/대두"
해물순두부,500,550,15,30,25,7,10,120,950,400,"해물, 순두부","갑각류, 땅콩/대두"
런치코스,1000,1300,40,80,50,15,25,200,1500,600,"한식 반찬, 메인요리","고기, 땅콩/대두"
전복장비빔밥,600,700,80,30,20,5,12,100,1000,500,"전복, 밥, 야채","갑각류"
셋더함한식코스,1200,1600,50,90,60,18,30,220,1700,700,"한식 반찬, 메인요리","고기, 땅콩/대두"
새우장정식,600,700,20,40,30,10,15,200,1200,500,"새우장, 밥, 반찬","갑각류"
차돌편채,300,500,10,25,30,8,10,150,700,300,"차돌박이, 야채","고기"
생선구이,300,400,5,25,20,5,8,120,600,250,"생선, 소금","생선"
더함 샐러드,250,300,20,10,15,2,8,20,400,200,"야채, 드레싱","NULL"
고추장맥적,400,600,20,40,35,10,12,180,800,350,"돼지고기, 고추장","고기, 땅콩/대두"
맥정식,700,900,25,50,40,12,18,200,1200,500,"밥, 반찬, 메인요리","고기, 땅콩/대두"
둘더함한식코스,1500,1900,50,100,60,18,30,250,1800,700,"한식 반찬, 메인요리","고기, 땅콩/대두"
와우홀릭세트(2인용 세트),800,1300,150,40,30,8,12,150,1200,400,"떡볶이, 튀김, 음료","밀, 땅콩/대두"
와우떡볶이(밀떡+조랭이떡),500,800,120,15,20,5,10,80,850,350,"밀떡, 조랭이떡, 고추장","밀, 땅콩/대두"
혼떡만찬세트(인원수대로),1000,1600,200,50,40,10,15,200,1500,500,"떡볶이, 튀김, 음료","밀, 땅콩/대두"
한방족발,600,1000,10,70,70,20,30,200,1400,600,"족발, 한방양념","고기"
보쌈,600,900,5,60,60,18,28,180,1300,550,"수육, 김치","고기"
매운족발,600,1000,20,70,60,18,30,200,1500,600,"족발, 매운양념","고기"
반반족발,600,1000,15,70,60,18,30,200,1450,600,"족발, 양념","고기"
막국수(소),350,450,70,8,10,2,5,50,700,250,"메밀면, 야채, 양념장","땅콩/대두"
막국수(대),500,600,100,12,15,3,8,60,800,300,"메밀면, 야채, 양념장","땅콩/대두"
고기녹두전,400,700,40,20,40,10,18,120,900,400,"녹두, 돼지고기","고기, 땅콩/대두"
골뱅이소면,400,600,50,25,20,5,8,100,800,400,"골뱅이, 소면, 양념","갑각류, 밀"
주먹밥,250,400,60,10,10,2,5,40,500,200,"밥, 김, 양념","NULL"
매운족발 미니,300,500,15,35,30,10,12,120,750,300,"족발, 매운양념","고기"
냉묵사발,350,300,50,5,5,1,2,30,400,200,"묵, 국물, 오이","NULL"
잔치국수,400,400,70,10,10,2,5,50,700,250,"면, 국물, 김","밀"
미니족발 포장판매,400,700,10,50,45,14,25,150,900,400,"족발","고기"
A코스,1500,2000,50,120,90,25,30,250,1800,700,"회, 구이, 요리, 반찬","해산물, 고기"
B코스,2000,2600,60,160,110,30,35,280,2000,800,"회, 구이, 요리, 반찬","해산물, 고기"
C코스,2500,3200,70,200,130,35,40,300,2200,900,"회, 구이, 요리, 반찬","해산물, 고기"
활어모듬 대,800,900,0,100,20,5,10,200,800,400,"광어, 우럭, 해산물","생선"
활어모듬 중,600,700,0,75,15,4,8,150,700,350,"광어, 우럭, 해산물","생선"
광어 대,700,850,0,90,15,5,10,180,800,400,"광어","생선"
광어 중,500,600,0,65,12,4,8,140,700,350,"광어","생선"
우럭 대,700,850,0,85,15,5,10,180,800,400,"우럭","생선"
우럭 중,500,600,0,60,12,4,8,140,700,350,"우럭","생선"
놀래미,600,700,0,75,15,5,10,150,750,350,"놀래미","생선"
농어,600,700,0,80,15,5,10,150,800,350,"농어","생선"
도다리/멍게/해삼/감성돔/참돔,800,950,0,100,15,5,10,200,850,400,"도다리, 멍게, 해삼, 감성돔, 참돔","해산물, 생선"
해물볶음,700,900,30,60,40,12,20,200,1000,500,"해물, 야채, 고추","갑각류, 땅콩/대두"
낙지,600,850,20,55,35,10,15,180,900,400,"낙지","갑각류"
홈메뉴(DIY) 5인분,1000,2000,300,100,80,20,30,250,2500,800,"떡, 어묵, 순대, 김밥 재료","밀, 땅콩/대두"
튀김세트,400,900,70,20,50,12,20,80,800,300,"오징어, 김말이, 고추튀김","밀, 갑각류"
순대세트,400,800,50,20,40,12,18,100,700,300,"순대, 쌈장, 간","돼지고기, 땅콩/대두"
김밥세트,400,700,80,20,20,5,10,60,600,300,"김밥, 김, 야채, 햄","달걀, 땅콩/대두"
어묵세트,400,600,40,25,20,6,12,80,900,300,"어묵, 국물, 야채","어묵(어류), 땅콩/대두"
떡볶이,350,700,100,15,20,6,10,50,700,250,"떡, 고추장, 어묵","밀, 땅콩/대두"
순대,300,600,40,15,30,8,12,70,600,250,"순대, 쌈장","돼지고기, 땅콩/대두"
튀김,300,600,50,15,30,8,12,70,600,250,"튀김(야채, 오징어 등)","밀, 갑각류"
어묵,250,500,30,20,20,5,10,50,600,200,"어묵, 국물","어묵(어류), 땅콩/대두"
꼬마김밥,200,450,55,10,15,3,8,40,400,200,"김밥, 김, 밥, 야채","땅콩/대두, 달걀"
어묵튀김 5개,200,500,40,15,25,6,12,50,500,200,"어묵, 튀김옷","밀, 어묵(어류)"
오징어튀김 1개,100,200,15,10,10,3,5,30,250,100,"오징어, 튀김옷","갑각류, 밀"
잉어빵 3마리,200,500,80,8,10,3,5,40,400,150,"팥, 밀가루, 반죽","밀"
레드라구 파스타,400,900,90,30,45,10,15,120,1000,400,"파스타면, 토마토, 고기","밀, 고기"
치킨 스테이크,400,850,30,40,50,12,20,150,900,400,"닭고기, 야채, 소스","고기"
비프 큐브 스테이크,400,900,20,50,60,15,20,180,950,400,"소고기, 야채, 소스","고기"
머쉬룸 파스타,400,850,90,20,40,8,15,100,950,400,"파스타면, 버섯, 크림","밀, 우유"
바질 페스토 파스타,400,800,80,20,35,8,12,80,900,400,"파스타면, 바질, 올리브오일","밀, 견과류"
봉골레 파스타,400,750,75,25,30,6,12,90,850,400,"파스타면, 조개, 올리브오일","밀, 갑각류"
감바스 알 아히요,300,700,10,25,60,15,20,200,700,300,"새우, 올리브오일, 마늘","갑각류"
치즈퐁듀칩스,200,600,40,10,40,15,20,80,500,200,"치즈, 감자칩","우유"
레드라구 칩스,200,600,45,10,40,12,20,80,500,200,"토마토소스, 감자칩","밀"
페퍼로니 칩스,200,600,40,15,40,12,20,90,500,200,"페퍼로니, 감자칩","고기"
스텔라 생맥주,400,200,15,2,0,0,0,0,20,20,"맥주","글루텐"
유자/자몽 하이볼,300,250,25,0,0,0,0,0,10,10,"탄산수, 위스키, 과일시럽","NULL"
물냉면,400,450,65,10,10,2,5,30,700,300,"면, 육수, 오이","밀"
비빔냉면,400,500,70,10,10,2,5,30,700,300,"면, 양념장, 오이","밀"
만두,300,600,50,15,25,8,12,80,700,300,"만두피, 돼지고기","밀, 고기"
버터치킨,400,900,20,30,60,20,25,150,950,400,"닭고기, 크림, 버터","우유, 고기"
치킨티카마살라,400,850,25,30,50,18,20,150,900,400,"닭고기, 향신료, 크림","우유, 고기"
프라운마크니,400,900,30,25,55,20,25,200,1000,400,"새우, 크림, 향신료","갑각류, 우유"
팔락 파니르,400,850,20,20,50,15,20,80,900,400,"시금치, 인도치즈, 크림","우유"
램 빈달루,400,950,20,35,60,20,25,180,1000,400,"양고기, 향신료","고기"
탄두리 치킨 비리야니,400,850,60,30,30,8,15,150,900,400,"닭고기, 쌀, 향신료","고기"
탄두리 치킨(half),300,650,10,30,45,12,20,150,800,350,"닭고기, 향신료","고기"
마늘난,150,450,50,8,20,8,12,30,500,200,"밀가루, 마늘, 버터","밀, 우유"
버터난,150,450,50,8,20,8,12,30,500,200,"밀가루, 버터","밀, 우유"
플레인 난,150,400,50,8,15,6,10,30,450,200,"밀가루","밀"
샐러드 크림 프라타,200,450,40,10,25,10,12,40,450,200,"프라타, 샐러드, 크림","밀, 우유"
슈퍼 레이브(S),400,1100,110,45,60,20,25,120,1200,500,"도우, 치즈, 토마토소스, 페퍼로니","밀, 우유"
클램 차우더 스프,250,350,20,10,25,10,12,60,600,250,"우유, 조개, 크림","우유, 갑각류"
치즈 피자(S),400,950,90,35,55,18,22,110,1100,500,"도우, 치즈","밀, 우유"
바질 마스카포네(S),400,1000,90,35,55,20,25,110,1100,500,"도우, 치즈, 바질, 마스카포네","밀, 우유"
치즈 엑스터시(S),400,1050,85,30,65,25,30,120,1200,500,"도우, 치즈 2종","밀, 우유"
애시드쉬림프(S),400,1000,85,35,50,15,25,110,1100,500,"도우, 새우, 치즈, 소스","밀, 우유, 갑각류"
누 레이브(S),400,1050,95,40,55,20,25,110,1100,500,"도우, 치즈, 토핑","밀, 우유"
마가리따(S),400,900,85,30,45,15,20,100,1100,500,"도우, 치즈, 토마토","밀, 우유"
페퍼로니(S),400,950,90,35,50,18,22,110,1100,500,"도우, 치즈, 페퍼로니","밀, 우유, 고기"
하와이안(S),400,950,85,30,50,18,22,110,1100,500,"도우, 치즈, 파인애플, 햄","밀, 우유, 고기"
더블 치즈 베이컨(S),400,1100,90,35,60,20,25,120,1100,500,"도우, 치즈, 베이컨","밀, 우유, 고기"
교촌싱글윙,200,600,30,35,35,10,20,110,800,300,"닭고기, 양념","고기"
레드싱글윙,200,600,30,35,35,10,20,110,800,300,"닭고기, 매운양념","고기"
교촌옥수수통안심 떡볶이세트,500,1100,100,40,50,18,22,120,900,400,"닭안심, 떡, 소스","고기, 밀"
교촌오리지날(한마리),800,1600,60,100,90,25,30,200,1200,500,"닭고기, 양념","고기"
레드윙박스,600,1300,60,75,80,20,30,150,1000,400,"닭고기, 매운양념","고기"
허니윙박스,600,1300,70,75,75,20,30,150,1000,400,"닭고기, 허니소스","고기"
후라이드윙박스,600,1200,60,70,70,18,25,150,1000,400,"닭고기, 튀김옷","고기, 밀"
양념치킨윙박스,600,1300,65,75,75,20,30,150,1000,400,"닭고기, 양념소스","고기"
허니오리지날(한마리),800,1600,65,90,85,25,30,200,1200,500,"닭고기, 허니소스","고기"
교촌후라이드,800,1550,60,95,85,25,30,200,1200,500,"닭고기, 튀김옷","고기, 밀"
교촌양념치킨,800,1600,70,90,85,25,30,200,1200,500,"닭고기, 양념소스","고기"
반반오리지날(한마리),800,1600,65,90,85,25,30,200,1200,500,"닭고기, 양념/후라이드","고기"
